prompt,prompt_tokens,max_new_tokens,dflash_generated,dflash_iters,dflash_tok_s,dflash_al,dflash_decode_s,mtp_tok_s,mtp_al_eff,mtp_decode_s,speedup_dflash_vs_mtp
completion_short,7,32,33,9,102.4,3.67,0.32,67.7,3.52,0.47,1.51
completion_short,7,128,131,28,128.0,4.68,1.02,56.4,3.33,2.27,2.27
completion_short,7,256,258,65,102.5,3.97,2.52,68.0,3.56,3.76,1.51
code_short,4,32,35,8,121.7,4.38,0.29,108.0,4.0,0.3,1.13
code_short,4,128,131,14,257.0,9.36,0.51,69.3,3.54,1.85,3.71
code_short,4,256,259,22,313.6,11.77,0.83,81.9,3.73,3.12,3.83
prose_medium,51,32,32,27,32.3,1.19,0.99,40.8,2.97,0.78,0.79
prose_medium,51,128,143,44,87.9,3.25,1.63,53.0,3.28,2.42,1.66
prose_medium,51,256,258,63,105.9,4.1,2.44,58.7,3.43,4.36,1.8
qa_medium,59,32,33,11,79.7,3.0,0.41,44.6,3.04,0.72,1.79
qa_medium,59,128,129,26,130.4,4.96,0.99,48.8,3.2,2.63,2.67
qa_medium,59,256,261,43,153.8,6.07,1.7,51.7,3.3,4.95,2.98
code_long,229,32,32,16,46.6,2.0,0.69,85.9,3.88,0.37,0.54
code_long,229,128,128,54,53.9,2.37,2.38,74.1,3.73,1.73,0.73
code_long,229,256,270,76,79.8,3.55,3.38,69.1,3.7,3.7,1.15
